coi_level,buffer_mi,mean_miles
Very Low,0.5,0.7455736646715612
Very Low,1,3.097373518185055
Very Low,2,11.493331099167222
Very Low,5,57.91268222852977
Low,0.5,0.5313246817459859
Low,1,2.2818677729361645
Low,2,8.697713571128071
Low,5,44.6327011319061
Moderate,0.5,0.5179222668590988
Moderate,1,2.2658403257500286
Moderate,2,8.60064750524358
Moderate,5,44.66298967115111
High,0.5,0.5416221348339542
High,1,2.4468675828350626
High,2,9.423999249242486
High,5,50.540199321075775
Very High,0.5,0.6419052102866237
Very High,1,2.867785545092024
Very High,2,11.4463577962736
Very High,5,63.226490321843045
