term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
log1p(n_bus_stops),1.40826,0.05113,27.54088,0,1.30804,1.50849,M1
log1p(dist_highway_km),-4.59818,0.10247,-44.87302,0,-4.79902,-4.39734,M1
hwy_mi_1mi,-0.42212,0.04549,-9.27864,0,-0.51128,-0.33295,M1
hwy_mi_5mi,0.01901,0.00316,6.00865,0,0.01281,0.02521,M1
hwy_decay,-0.05801,0.03936,-1.47372,0.14056,-0.13516,0.01914,M1
pct_no_vehicle,0.10662,0.00879,12.12919,0,0.08939,0.12384,M1
mean_noise_db,-0.01734,0.00464,-3.73519,1.9e-4,-0.02644,-0.00824,M1
pct_exposed_60db,0.03561,0.01237,2.87741,0.00401,0.01135,0.05986,M1
log1p(n_bus_stops),0.98887,0.05138,19.2452,0,0.88816,1.08958,M2_RUCA
log1p(dist_highway_km),-3.53541,0.10604,-33.33884,0,-3.74325,-3.32756,M2_RUCA
hwy_mi_1mi,-0.3272,0.04489,-7.28921,0,-0.41518,-0.23922,M2_RUCA
hwy_mi_5mi,0.00532,0.00313,1.69788,0.08954,-8.2e-4,0.01147,M2_RUCA
hwy_decay,-0.00687,0.03885,-0.17684,0.85963,-0.08302,0.06928,M2_RUCA
pct_no_vehicle,0.09388,0.00867,10.8282,0,0.07689,0.11088,M2_RUCA
mean_noise_db,-0.0251,0.00458,-5.48072,0,-0.03408,-0.01613,M2_RUCA
pct_exposed_60db,0.03976,0.0122,3.26028,0.00111,0.01586,0.06367,M2_RUCA
log1p(n_bus_stops),0.67581,0.05297,12.75717,0,0.57198,0.77964,M3_RUCA_state
log1p(dist_highway_km),-3.38641,0.10657,-31.77711,0,-3.59528,-3.17754,M3_RUCA_state
hwy_mi_1mi,-0.23914,0.04817,-4.96409,0,-0.33356,-0.14472,M3_RUCA_state
hwy_mi_5mi,0.01174,0.00341,3.44162,5.8e-4,0.00506,0.01843,M3_RUCA_state
hwy_decay,-0.11377,0.04373,-2.60139,0.00929,-0.19948,-0.02805,M3_RUCA_state
pct_no_vehicle,0.07734,0.00872,8.86749,0,0.06024,0.09443,M3_RUCA_state
mean_noise_db,-0.02703,0.00465,-5.81477,0,-0.03614,-0.01792,M3_RUCA_state
pct_exposed_60db,0.05908,0.01214,4.86809,0,0.03529,0.08287,M3_RUCA_state
